uvADCLevel,outputVoltage,uvIntensity
663,3.20,17.35
666,3.21,17.46
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
666,3.21,17.46
665,3.21,17.42
665,3.21,17.42
666,3.21,17.46
666,3.21,17.46
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
666,3.21,17.46
666,3.21,17.46
665,3.21,17.42
665,3.21,17.42
666,3.21,17.46
665,3.21,17.42
666,3.21,17.46
666,3.21,17.46
666,3.21,17.46
666,3.21,17.42
666,3.21,17.46
666,3.21,17.42
666,3.21,17.42
666,3.21,17.42
666,3.21,17.46
666,3.21,17.46
666,3.21,17.42
666,3.21,17.46
666,3.21,17.42
666,3.21,17.46
666,3.21,17.42
666,3.21,17.46
665,3.21,17.42
666,3.21,17.46
666,3.21,17.46
666,3.21,17.46
665,3.21,17.42
666,3.21,17.46
666,3.21,17.46
666,3.21,17.46
666,3.21,17.46
665,3.21,17.42
666,3.21,17.46
665,3.21,17.42
665,3.21,17.42
666,3.21,17.46
666,3.21,17.46
666,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
666,3.21,17.46
666,3.21,17.42
666,3.21,17.42
666,3.21,17.42
666,3.21,17.42
666,3.21,17.42
666,3.21,17.42
667,3.21,17.46
666,3.21,17.42
666,3.21,17.42
666,3.21,17.42
666,3.21,17.46
666,3.21,17.46
666,3.21,17.46
666,3.21,17.46
666,3.21,17.46
666,3.21,17.46
666,3.21,17.46
666,3.21,17.46
666,3.21,17.46
666,3.21,17.46
666,3.21,17.46
666,3.21,17.46
666,3.21,17.46
666,3.21,17.46
666,3.21,17.46
666,3.21,17.46
666,3.21,17.46
666,3.21,17.46
666,3.21,17.46
666,3.21,17.46
666,3.21,17.46
666,3.21,17.46
666,3.21,17.46
666,3.21,17.46
666,3.21,17.46
666,3.21,17.46
666,3.21,17.46
666,3.21,17.46
666,3.21,17.46
666,3.21,17.46
665,3.21,17.42
666,3.21,17.46
666,3.21,17.46
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
666,3.21,17.46
665,3.21,17.42
666,3.21,17.46
666,3.21,17.46
666,3.21,17.46
666,3.21,17.42
666,3.21,17.46
666,3.21,17.46
666,3.21,17.42
666,3.21,17.46
666,3.21,17.46
666,3.21,17.42
666,3.21,17.46
666,3.21,17.46
665,3.21,17.42
666,3.21,17.46
666,3.21,17.46
666,3.21,17.46
666,3.21,17.46
665,3.21,17.42
665,3.21,17.42
666,3.21,17.46
665,3.21,17.42
666,3.21,17.46
666,3.21,17.46
665,3.21,17.42
666,3.21,17.46
665,3.21,17.42
666,3.21,17.46
666,3.21,17.46
665,3.21,17.42
666,3.21,17.46
666,3.21,17.46
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
666,3.21,17.46
665,3.21,17.42
665,3.21,17.42
666,3.21,17.46
665,3.21,17.42
666,3.21,17.46
666,3.21,17.46
666,3.21,17.46
666,3.21,17.46
666,3.21,17.46
666,3.21,17.46
666,3.21,17.46
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
666,3.21,17.46
665,3.21,17.42
665,3.21,17.42
666,3.21,17.46
666,3.21,17.46
666,3.21,17.46
665,3.21,17.42
665,3.21,17.42
666,3.21,17.46
666,3.21,17.46
665,3.21,17.42
666,3.21,17.42
666,3.21,17.42
667,3.21,17.46
667,3.21,17.46
666,3.21,17.42
666,3.21,17.46
665,3.20,17.38
665,3.21,17.42
665,3.21,17.42
666,3.21,17.46
665,3.21,17.42
666,3.21,17.46
666,3.21,17.42
666,3.21,17.42
666,3.21,17.46
666,3.21,17.46
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
666,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
666,3.21,17.46
666,3.21,17.46
674,3.25,17.76
674,3.25,17.76
674,3.25,17.76
674,3.25,17.76
674,3.25,17.76
674,3.25,17.76
674,3.25,17.76
674,3.25,17.76
674,3.25,17.76
674,3.25,17.76
674,3.25,17.76
674,3.25,17.76
674,3.25,17.76
674,3.25,17.76
674,3.25,17.76
674,3.25,17.76
674,3.25,17.76
674,3.25,17.73
674,3.25,17.73
674,3.25,17.76
674,3.25,17.76
674,3.25,17.76
674,3.25,17.76
674,3.25,17.76
674,3.25,17.76
674,3.25,17.76
673,3.25,17.72
674,3.25,17.76
674,3.25,17.76
674,3.25,17.76
673,3.25,17.72
674,3.25,17.76
674,3.25,17.76
674,3.25,17.76
674,3.25,17.76
673,3.25,17.72
674,3.25,17.76
674,3.25,17.76
674,3.25,17.76
674,3.25,17.76
674,3.25,17.76
674,3.25,17.76
674,3.25,17.76
674,3.25,17.76
674,3.25,17.76
674,3.25,17.76
674,3.25,17.76
674,3.25,17.76
674,3.25,17.76
674,3.25,17.76
674,3.25,17.76
674,3.25,17.76
674,3.25,17.76
673,3.25,17.72
674,3.25,17.76
673,3.25,17.72
673,3.25,17.72
673,3.25,17.72
672,3.24,17.69
666,3.21,17.46
666,3.21,17.46
666,3.21,17.46
666,3.21,17.46
666,3.21,17.46
665,3.21,17.42
665,3.21,17.42
666,3.21,17.42
665,3.20,17.38
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
666,3.21,17.46
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
666,3.21,17.46
666,3.21,17.46
665,3.20,17.38
665,3.20,17.38
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
666,3.21,17.46
666,3.21,17.46
664,3.20,17.38
664,3.20,17.38
665,3.21,17.42
666,3.21,17.46
667,3.22,17.50
666,3.21,17.46
664,3.20,17.38
665,3.21,17.42
664,3.20,17.38
665,3.21,17.42
666,3.21,17.46
667,3.22,17.50
667,3.22,17.50
667,3.22,17.50
665,3.21,17.42
664,3.20,17.38
665,3.21,17.42
665,3.21,17.42
666,3.21,17.46
666,3.21,17.46
666,3.21,17.46
666,3.21,17.46
665,3.21,17.42
667,3.22,17.50
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
666,3.21,17.46
666,3.21,17.46
666,3.21,17.46
665,3.21,17.42
664,3.20,17.38
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
666,3.21,17.46
665,3.21,17.42
666,3.21,17.46
666,3.21,17.46
666,3.21,17.46
666,3.21,17.46
666,3.21,17.46
666,3.21,17.46
666,3.21,17.46
667,3.22,17.50
667,3.22,17.50
667,3.22,17.50
667,3.22,17.50
667,3.22,17.50
667,3.22,17.50
669,3.23,17.57
670,3.23,17.57
670,3.23,17.57
670,3.23,17.57
669,3.22,17.54
668,3.22,17.54
668,3.22,17.54
668,3.22,17.54
669,3.23,17.57
670,3.23,17.61
668,3.22,17.54
668,3.22,17.54
667,3.22,17.50
669,3.23,17.57
669,3.23,17.57
669,3.23,17.57
670,3.23,17.61
669,3.23,17.57
668,3.22,17.54
669,3.23,17.57
671,3.24,17.65
668,3.22,17.54
669,3.23,17.57
668,3.22,17.54
668,3.22,17.54
669,3.23,17.57
670,3.23,17.61
669,3.23,17.57
670,3.23,17.61
670,3.23,17.61
670,3.23,17.61
669,3.23,17.57
671,3.24,17.65
670,3.23,17.61
671,3.24,17.65
669,3.23,17.57
671,3.24,17.65
673,3.25,17.72
671,3.24,17.65
674,3.25,17.76
672,3.24,17.69
671,3.24,17.65
670,3.23,17.61
669,3.23,17.57
670,3.23,17.61
672,3.24,17.69
671,3.24,17.65
670,3.23,17.61
671,3.24,17.65
672,3.24,17.69
670,3.23,17.61
672,3.24,17.69
671,3.24,17.65
671,3.24,17.65
673,3.25,17.72
673,3.25,17.72
672,3.24,17.69
672,3.24,17.69
672,3.24,17.69
672,3.24,17.69
673,3.25,17.72
673,3.25,17.72
675,3.26,17.80
674,3.25,17.76
674,3.25,17.76
674,3.25,17.76
675,3.26,17.80
673,3.25,17.72
673,3.25,17.72
673,3.25,17.72
672,3.24,17.65
673,3.24,17.69
673,3.24,17.69
672,3.24,17.65
673,3.25,17.72
673,3.25,17.72
673,3.25,17.72
673,3.25,17.72
672,3.24,17.69
672,3.24,17.69
673,3.25,17.72
672,3.24,17.69
672,3.24,17.69
672,3.24,17.69
672,3.24,17.69
672,3.24,17.69
672,3.24,17.69
673,3.25,17.72
673,3.25,17.72
672,3.24,17.69
671,3.24,17.65
670,3.23,17.61
672,3.24,17.69
672,3.24,17.69
668,3.22,17.54
668,3.22,17.54
667,3.22,17.50
668,3.22,17.54
665,3.21,17.42
666,3.21,17.46
669,3.23,17.57
671,3.24,17.65
669,3.23,17.57
670,3.23,17.61
669,3.23,17.57
669,3.23,17.57
670,3.23,17.61
670,3.23,17.61
668,3.22,17.54
667,3.22,17.50
667,3.22,17.50
666,3.21,17.46
669,3.23,17.57
668,3.22,17.54
668,3.22,17.54
671,3.24,17.65
670,3.23,17.61
669,3.23,17.57
669,3.23,17.57
669,3.23,17.57
665,3.21,17.42
666,3.21,17.46
668,3.22,17.54
667,3.22,17.50
668,3.22,17.54
669,3.22,17.54
668,3.22,17.54
669,3.23,17.57
668,3.22,17.54
668,3.22,17.54
667,3.22,17.50
667,3.22,17.50
667,3.22,17.50
666,3.21,17.46
666,3.21,17.46
667,3.22,17.50
667,3.22,17.50
666,3.21,17.46
666,3.21,17.46
667,3.22,17.50
667,3.22,17.50
667,3.22,17.50
667,3.22,17.50
668,3.22,17.54
666,3.21,17.46
667,3.22,17.50
666,3.21,17.46
666,3.21,17.46
666,3.21,17.46
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
666,3.21,17.46
665,3.21,17.42
665,3.21,17.42
665,3.21,17.42
