lumVisRaw,lumIrRaw,lumLvl,lumSat,lightfreq,lightFreqmW/m2,adc0PotLeft,adc1PotRight,diffLeft2Right,millis
0,0,0.00,1,0,0,1.53,1.71,-0.19,6432
0,0,0.00,1,8580,86,1.54,1.73,-0.19,6606
174,109,8.95,1,8705,87,1.54,1.73,-0.19,6781
174,109,8.95,1,8750,88,1.54,1.73,-0.19,6957
174,109,8.95,1,8795,88,1.54,1.73,-0.19,7131
177,112,8.83,1,8830,88,1.54,1.73,-0.19,7306
177,112,8.83,1,8850,89,1.54,1.73,-0.19,7480
178,112,9.04,1,8850,89,1.54,1.73,-0.19,7655
178,112,9.04,1,8616,86,1.54,1.72,-0.19,7868
179,112,9.24,1,8845,88,1.54,1.73,-0.19,8043
179,112,9.24,1,9110,91,1.54,1.73,-0.19,8222
178,112,9.04,1,8855,89,1.54,1.73,-0.19,8397
178,112,9.04,1,8850,89,1.54,1.73,-0.19,8572
178,112,9.04,1,8855,89,1.54,1.73,-0.19,8748
178,112,9.04,1,8845,88,1.54,1.73,-0.19,8922
178,112,9.04,1,8850,89,1.54,1.73,-0.19,9097
178,112,9.04,1,8850,89,1.54,1.73,-0.19,9272
178,112,9.04,1,8855,89,1.54,1.73,-0.19,9447
178,112,9.04,1,8855,89,1.54,1.73,-0.19,9622
178,112,9.04,1,8855,89,1.54,1.73,-0.19,9796
178,112,9.04,1,8845,88,1.54,1.73,-0.19,9971
178,112,9.04,1,8850,89,1.54,1.73,-0.19,10146
178,112,9.04,1,9105,91,1.54,1.73,-0.19,10327
178,112,9.04,1,8840,88,1.54,1.73,-0.19,10502
178,112,9.04,1,8840,88,1.54,1.73,-0.19,10676
178,112,9.04,1,8835,88,1.54,1.73,-0.19,10851
178,112,9.04,1,8835,88,1.54,1.73,-0.19,11025
178,112,9.04,1,8840,88,1.54,1.73,-0.19,11200
178,112,9.04,1,8845,88,1.54,1.73,-0.19,11375
178,112,9.04,1,8850,89,1.54,1.73,-0.19,11549
178,112,9.04,1,8850,89,1.54,1.73,-0.19,11724
178,112,9.04,1,8840,88,1.54,1.73,-0.19,11899
178,112,9.04,1,8845,88,1.54,1.73,-0.19,12073
178,112,9.04,1,8824,88,1.54,1.73,-0.19,12292
178,112,9.04,1,8840,88,1.54,1.73,-0.19,12467
178,112,9.04,1,8840,88,1.54,1.73,-0.19,12642
178,112,9.04,1,9385,94,1.54,1.73,-0.19,12827
178,112,9.04,1,8830,88,1.54,1.73,-0.19,13002
178,112,9.04,1,8835,88,1.54,1.73,-0.19,13176
178,112,9.04,1,8815,88,1.54,1.73,-0.19,13351
178,112,9.04,1,8765,88,1.54,1.73,-0.19,13526
178,112,9.04,1,8635,86,1.54,1.73,-0.19,13701
174,109,8.95,1,8320,83,1.54,1.73,-0.19,13876
174,109,8.95,1,8305,83,1.54,1.73,-0.19,14050
174,109,8.95,1,8730,87,1.48,1.64,-0.18,14230
175,110,8.91,1,8540,85,1.51,1.70,-0.19,14404
175,110,8.91,1,11215,112,1.54,1.72,-0.19,14579
192,119,10.19,1,22420,224,1.44,1.65,-0.18,14755
192,119,10.19,1,25230,252,1.49,1.67,-0.18,14931
238,141,15.36,1,25575,256,1.53,1.72,-0.19,15108
238,141,15.36,1,25465,255,1.51,1.69,-0.19,15284
241,144,14.95,1,25735,257,1.53,1.72,-0.19,15461
241,144,14.95,1,25845,258,1.51,1.70,-0.19,15637
241,144,14.95,1,25890,259,1.53,1.72,-0.19,15814
243,145,15.17,1,25895,259,1.52,1.71,-0.19,15990
243,145,15.17,1,26380,264,1.48,1.69,-0.18,16173
240,143,15.09,1,23480,235,1.53,1.72,-0.19,16349
240,143,15.09,1,15385,154,1.54,1.72,-0.19,16524
204,126,10.93,1,8910,89,1.47,1.67,-0.18,16699
204,126,10.93,1,8548,85,1.53,1.72,-0.19,16912
177,111,9.08,1,8785,88,1.53,1.72,-0.19,17087
177,111,9.08,1,8920,89,1.53,1.72,-0.19,17262
179,112,9.24,1,8975,90,1.53,1.72,-0.19,17436
179,112,9.24,1,9040,90,1.53,1.72,-0.19,17611
179,112,9.24,1,9090,91,1.53,1.72,-0.19,17786
181,114,9.16,1,9100,91,1.53,1.72,-0.19,17961
181,114,9.16,1,9375,94,1.53,1.72,-0.19,18141
181,114,9.16,1,9095,91,1.53,1.72,-0.19,18316
181,114,9.16,1,9095,91,1.53,1.72,-0.19,18490
181,114,9.16,1,9095,91,1.53,1.72,-0.19,18665
181,114,9.16,1,9090,91,1.53,1.72,-0.19,18839
181,114,9.16,1,9090,91,1.53,1.72,-0.19,19014
181,114,9.16,1,9090,91,1.53,1.72,-0.19,19188
181,114,9.16,1,9095,91,1.53,1.72,-0.19,19363
181,114,9.16,1,9665,97,1.53,1.72,-0.19,19549
181,114,9.16,1,9085,91,1.53,1.72,-0.19,19724
181,114,9.16,1,9085,91,1.53,1.72,-0.19,19898
181,114,9.16,1,9085,91,1.53,1.72,-0.19,20073
181,114,9.16,1,9350,94,1.53,1.72,-0.19,20252
181,114,9.16,1,9080,91,1.53,1.72,-0.19,20427
181,114,9.16,1,9075,91,1.53,1.72,-0.19,20601
181,114,9.16,1,9080,91,1.53,1.72,-0.19,20776
181,114,9.16,1,9080,91,1.53,1.72,-0.19,20951
181,114,9.16,1,9085,91,1.53,1.72,-0.19,21126
181,114,9.16,1,9085,91,1.53,1.72,-0.19,21300
181,114,9.16,1,8860,89,1.53,1.72,-0.19,21513
181,114,9.16,1,9095,91,1.53,1.72,-0.19,21688
181,114,9.16,1,9095,91,1.53,1.72,-0.19,21862
181,114,9.16,1,9085,91,1.53,1.72,-0.19,22037
181,114,9.16,1,10010,100,1.53,1.72,-0.19,22230
181,114,9.16,1,9245,92,1.53,1.72,-0.19,22407
181,114,9.16,1,9245,92,1.53,1.72,-0.19,22584
181,114,9.16,1,9240,92,1.53,1.72,-0.19,22762
181,114,9.16,1,9240,92,1.53,1.72,-0.19,22939
181,114,9.16,1,9235,92,1.53,1.72,-0.19,23116
181,114,9.16,1,9240,92,1.53,1.72,-0.19,23294
181,114,9.16,1,9245,92,1.53,1.72,-0.19,23472
181,114,9.16,1,9240,92,1.53,1.72,-0.19,23650
181,114,9.16,1,9230,92,1.53,1.72,-0.19,23827
181,114,9.16,1,9235,92,1.53,1.72,-0.19,24004
181,114,9.16,1,9510,95,1.53,1.72,-0.19,24187
181,114,9.16,1,9260,93,1.53,1.72,-0.19,24365
181,114,9.16,1,9240,92,1.53,1.72,-0.19,24543
181,114,9.16,1,9225,92,1.53,1.72,-0.19,24720
181,114,9.16,1,9240,92,1.53,1.72,-0.19,24898
181,114,9.16,1,9235,92,1.53,1.72,-0.19,25075
181,114,9.16,1,9235,92,1.53,1.72,-0.19,25253
181,114,9.16,1,9250,93,1.53,1.72,-0.19,25431
181,114,9.16,1,9245,92,1.53,1.72,-0.19,25609
181,114,9.16,1,9245,92,1.53,1.72,-0.19,25786
181,114,9.16,1,9320,93,1.53,1.72,-0.19,25964
182,114,9.37,1,9532,95,1.53,1.72,-0.19,26191
182,114,9.37,1,9610,96,1.53,1.72,-0.19,26374
183,114,9.57,1,9340,93,1.53,1.72,-0.19,26552
183,114,9.57,1,9285,93,1.53,1.72,-0.19,26729
182,114,9.37,1,9240,92,1.53,1.72,-0.19,26906
182,114,9.37,1,9105,91,1.53,1.72,-0.19,27084
3919,519,1676.86,1,432572,4326,8.00,1.72,-0.19,27222
11920,1484,5158.14,1,333780,3338,1.53,1.72,-0.19,27406
11920,1484,5158.14,1,9165,92,1.53,1.72,-0.19,27584
644,165,218.30,1,9295,93,1.53,1.72,-0.19,27761
644,165,218.30,1,9340,93,1.53,1.72,-0.19,27939
183,114,9.57,1,9310,93,1.53,1.72,-0.19,28116
183,114,9.57,1,9530,95,1.53,1.72,-0.19,28300
182,114,9.37,1,9190,92,1.53,1.72,-0.19,28477
182,114,9.37,1,9130,91,1.53,1.72,-0.19,28654
204,115,16.07,1,9460,95,1.53,1.72,-0.19,28832
204,115,16.07,1,9600,96,1.53,1.72,-0.19,29009
204,115,16.07,1,9395,94,1.53,1.72,-0.19,29187
229,119,23.05,1,9390,94,1.53,1.72,-0.19,29365
229,119,23.05,1,9555,96,1.53,1.72,-0.19,29542
219,118,19.96,1,9670,97,1.53,1.72,-0.19,29720
219,118,19.96,1,9785,98,1.53,1.72,-0.19,29897
244,121,28.01,1,10575,106,1.53,1.72,-0.19,30075
244,121,28.01,1,12310,123,1.53,1.72,-0.19,30259
290,125,52.50,1,13235,132,1.53,1.72,-0.19,30437
290,125,52.50,1,14665,147,1.53,1.72,-0.19,30615
339,130,77.00,1,15608,156,1.53,1.72,-0.19,30832
339,130,77.00,1,17505,175,1.53,1.72,-0.19,31010
390,135,102.09,1,18885,189,1.53,1.72,-0.19,31190
390,135,102.09,1,20240,202,1.53,1.72,-0.19,31369
390,135,102.09,1,21825,218,1.53,1.72,-0.19,31548
439,140,125.61,1,23710,237,1.53,1.72,-0.19,31727
439,140,125.61,1,26145,261,1.53,1.72,-0.19,31907
506,147,157.18,1,30170,302,1.53,1.72,-0.19,32093
506,147,157.18,1,33830,338,1.53,1.72,-0.19,32274
645,160,222.85,1,39640,396,1.53,1.72,-0.19,32456
645,160,222.85,1,43505,435,1.53,1.72,-0.19,32640
794,158,304.03,1,48025,480,1.53,1.72,-0.19,32823
794,158,304.03,1,58900,589,1.53,1.72,-0.19,33019
1037,154,433.16,1,64520,645,1.53,1.72,-0.19,33207
1037,154,433.16,1,80375,804,1.53,1.72,-0.19,33397
1574,214,670.03,1,85428,854,1.53,1.72,-0.19,33602
1574,214,670.03,1,143944,1439,8.00,1.72,-0.19,33881
3943,470,1718.75,1,1121949,11219,1.53,1.72,-0.19,34127
2097,271,901.40,1,89804,898,1.53,1.72,-0.19,34351
2097,271,901.40,1,63360,634,1.53,1.72,-0.19,34539
1315,192,551.40,1,48395,484,1.53,1.72,-0.19,34723
1315,192,551.40,1,36730,367,1.53,1.72,-0.19,34906
766,177,274.86,1,28020,280,1.53,1.72,-0.19,35087
766,177,274.86,1,22375,224,1.53,1.72,-0.19,35266
486,147,146.00,1,19850,199,1.53,1.72,-0.19,35445
486,147,146.00,1,23380,234,1.53,1.72,-0.19,35624
569,156,184.54,1,32916,329,1.53,1.72,-0.19,35844
569,156,184.54,1,49535,495,1.53,1.72,-0.19,36027
1063,206,411.04,1,72915,729,1.53,1.72,-0.19,36221
1063,206,411.04,1,84128,841,1.53,1.72,-0.19,36430
38087,4536,16604.45,1,1680536,16805,1.53,1.72,-0.19,36555
38087,4536,16604.45,1,65232,652,1.53,1.72,-0.19,36757
3000,412,1274.48,1,31595,316,1.53,1.72,-0.19,36939
3000,412,1274.48,1,17325,173,1.53,1.72,-0.19,37118
741,178,260.61,1,10950,110,1.53,1.72,-0.19,37297
741,178,260.61,1,9420,94,1.53,1.72,-0.19,37474
245,121,28.65,1,9240,92,1.53,1.72,-0.19,37652
245,121,28.65,1,9340,93,1.53,1.72,-0.19,37830
186,115,9.94,1,11175,112,1.53,1.72,-0.19,38025
186,115,9.94,1,9345,93,1.53,1.72,-0.19,38202
185,115,9.74,1,9290,93,1.53,1.72,-0.19,38380
185,115,9.74,1,9270,93,1.53,1.72,-0.19,38557
182,114,9.37,1,9260,93,1.53,1.72,-0.19,38734
182,114,9.37,1,9255,93,1.53,1.72,-0.19,38913
182,114,9.37,1,9255,93,1.53,1.72,-0.19,39090
182,114,9.37,1,9250,93,1.53,1.72,-0.19,39267
182,114,9.37,1,9265,93,1.53,1.72,-0.19,39445
182,114,9.37,1,9270,93,1.53,1.72,-0.19,39622
182,114,9.37,1,9255,93,1.53,1.72,-0.19,39799
182,114,9.37,1,10100,101,1.53,1.72,-0.19,39994
182,114,9.37,1,9280,93,1.53,1.72,-0.19,40171
182,114,9.37,1,9008,90,1.53,1.72,-0.19,40387
182,114,9.37,1,9275,93,1.53,1.72,-0.19,40565
182,114,9.37,1,9265,93,1.53,1.72,-0.19,40742
182,114,9.37,1,9275,93,1.53,1.72,-0.19,40921
182,114,9.37,1,9280,93,1.53,1.72,-0.19,41098
182,114,9.37,1,9270,93,1.53,1.72,-0.19,41276
182,114,9.37,1,9270,93,1.53,1.72,-0.19,41453
182,114,9.37,1,9255,93,1.53,1.72,-0.19,41631
182,114,9.37,1,9245,92,1.53,1.72,-0.19,41808
182,114,9.37,1,9255,93,1.53,1.72,-0.19,41987
182,114,9.37,1,9525,95,1.53,1.72,-0.19,42170
182,114,9.37,1,9240,92,1.53,1.72,-0.19,42347
182,114,9.37,1,9230,92,1.53,1.72,-0.19,42524
181,114,9.16,1,9215,92,1.53,1.72,-0.19,42702
181,114,9.16,1,9220,92,1.53,1.72,-0.19,42880
181,114,9.16,1,9215,92,1.53,1.72,-0.19,43057
181,114,9.16,1,9205,92,1.53,1.72,-0.19,43235
181,114,9.16,1,9215,92,1.53,1.72,-0.19,43412
181,114,9.16,1,9215,92,1.53,1.72,-0.19,43589
